ID Vigilante,Horario preferencia 6 a.m - 2 p.m,Horario preferencia 2 p.m - 10 p.m,Horario preferencia 10 p.m - 6 a.m,Sitio Esperado,D. Sitio 1,D. Sitio 2,D. Sitio 3,D. Sitio 4,D. Sitio 5,D. Sitio 6,D. Sitio 7,D. Sitio 8,D. Sitio 9,D. Sitio 10,D. Sitio 11,D. Sitio 12,D. Sitio 13,D. Sitio 14,D. Sitio 15,D. Sitio 16,D. Sitio 17,D. Sitio 18,D. Sitio 19,D. Sitio 20,D. Sitio 21,D. Sitio 22,D. Sitio 23,D. Sitio 24,D. Sitio 25,D. Sitio 26,D. Sitio 27,D. Sitio 28,D. Sitio 29,D. Sitio 30,D. Sitio 31,D. Sitio 32,D. Sitio 33,D. Sitio 34,D. Sitio 35,D. Sitio 36,D. Sitio 37,D. Sitio 38,D. Sitio 39,D. Sitio 40,D. Sitio 41,D. Sitio 42,D. Sitio 43,D. Sitio 44,D. Sitio 45,D. Sitio 46,D. Sitio 47,D. Sitio 48,D. Sitio 49,D. Sitio 50,D. Sitio 51,D. Sitio 52,D. Sitio 53,D. Sitio 54,D. Sitio 55,D. Sitio 56,D. Sitio 57,D. Sitio 58,D. Sitio 59,D. Sitio 60,D. Sitio 61,D. Sitio 62,D. Sitio 63,D. Sitio 64,D. Sitio 65,D. Sitio 66,D. Sitio 67,D. Sitio 68,D. Sitio 69,D. Sitio 70,D. Sitio 71,D. Sitio 72,D. Sitio 73,D. Sitio 74,D. Sitio 75,D. Sitio 76,D. Sitio 77,D. Sitio 78,D. Sitio 79,D. Sitio 80,D. Sitio 81,D. Sitio 82,D. Sitio 83,D. Sitio 84,D. Sitio 85,D. Sitio 86,D. Sitio 87,D. Sitio 88,D. Sitio 89,D. Sitio 90,D. Sitio 91,D. Sitio 92,D. Sitio 93,D. Sitio 94,D. Sitio 95,D. Sitio 96,D. Sitio 97,D. Sitio 98,D. Sitio 99,D. Sitio 100,D. Sitio 101,D. Sitio 102,D. Sitio 103,D. Sitio 104,D. Sitio 105,D. Sitio 106,D. Sitio 107,D. Sitio 108,D. Sitio 109,D. Sitio 110,D. Sitio 111,D. Sitio 112,D. Sitio 113,D. Sitio 114,D. Sitio 115,D. Sitio 116,D. Sitio 117,D. Sitio 118,D. Sitio 119,D. Sitio 120,D. Sitio 121,D. Sitio 122,D. Sitio 123,D. Sitio 124,D. Sitio 125
45,2,1,1,2,74,45,29,56,62,75,83,27,53,100,17,2,35,71,75,80,17,45,98,42,7,69,26,49,31,56,0,88,99,3,90,88,86,19,65,98,97,15,13,78,96,71,67,24,38,16,57,70,70,34,12,1,40,44,9,23,38,13,42,79,85,45,96,62,50,18,9,5,19,24,48,97,5,34,17,74,67,7,15,46,45,25,24,51,54,79,54,48,56,71,72,7,81,49,48,77,87,65,89,18,82,29,94,84,43,96,97,27,50,39,67,11,69,39,65,55,49,37,21,75,12,41,64,66,2
46,2,2,1,1,29,47,82,6,20,57,30,91,18,34,16,80,63,65,29,24,49,22,87,92,55,95,79,3,46,32,4,86,31,12,51,11,72,35,73,98,2,18,67,11,6,72,69,76,61,59,44,7,38,20,67,44,80,68,83,81,68,96,100,9,87,50,36,46,17,84,2,61,51,83,5,58,29,87,70,82,1,64,86,88,33,78,43,26,2,60,83,29,53,29,59,77,78,32,23,58,7,86,12,44,63,43,16,93,12,38,73,61,40,74,60,48,71,67,31,37,6,29,60,88,93,62,42,69,29
47,0,2,1,1,55,40,51,21,72,82,30,10,35,85,97,56,76,94,20,31,54,86,1,14,51,92,48,47,24,19,10,40,40,30,72,12,44,4,19,1,8,25,21,55,57,44,28,51,44,40,24,92,30,16,48,69,90,73,97,43,60,36,80,40,44,7,87,20,14,71,76,40,43,18,84,34,75,57,19,35,59,30,34,99,23,71,39,69,51,53,21,82,5,88,1,100,20,62,22,41,52,77,15,55,92,99,64,0,100,31,68,55,72,26,10,96,56,15,38,58,68,72,18,5,10,77,62,5,46
48,1,2,2,0,61,56,65,20,40,29,48,71,5,95,27,85,12,10,23,15,45,8,12,42,19,15,49,13,60,25,38,90,66,23,85,14,22,72,70,22,96,59,8,72,45,12,83,32,24,35,86,74,18,75,46,73,51,39,83,42,20,100,57,29,17,58,71,24,54,100,57,32,40,93,60,99,56,82,56,8,92,4,97,34,43,67,70,92,5,71,5,13,70,99,93,6,96,43,9,30,73,14,38,86,55,47,98,80,86,86,79,55,3,58,14,28,79,90,81,76,9,100,41,44,31,92,10,13,87
49,2,3,3,1,77,41,65,92,55,76,10,7,86,6,47,7,69,84,1,45,34,43,94,70,4,39,92,64,1,22,35,33,35,7,99,57,81,42,38,1,82,60,31,5,35,54,67,11,21,78,28,91,10,49,47,75,82,77,23,11,17,71,91,29,79,83,8,33,20,90,15,8,53,79,6,58,48,84,39,33,31,39,87,42,57,26,93,73,82,75,28,81,96,6,34,99,60,53,35,55,61,56,42,7,61,17,10,62,38,92,89,56,29,80,99,13,65,98,79,14,58,97,8,13,37,56,95,60,84
50,2,2,2,3,68,65,43,64,64,64,91,52,98,45,72,9,89,50,17,58,47,83,56,41,23,69,92,91,50,47,17,17,93,66,33,20,3,18,85,31,70,63,51,53,44,88,21,41,95,79,69,29,96,24,36,21,50,73,9,71,95,82,34,24,88,12,75,76,27,64,88,11,90,35,73,33,34,28,66,35,22,41,67,36,61,16,43,7,6,80,61,2,95,57,47,0,44,45,9,57,44,77,62,77,57,35,7,44,35,51,34,2,80,34,80,69,99,16,49,82,83,88,74,85,32,69,16,3,13
51,0,3,0,2,97,25,5,9,62,40,66,61,24,42,51,9,77,65,97,77,51,15,17,90,21,9,17,36,78,79,14,66,94,42,89,80,0,82,80,94,52,60,4,29,23,15,10,5,60,16,55,82,75,40,15,30,30,83,6,36,14,95,66,1,16,78,12,15,40,50,14,62,25,12,6,79,48,62,0,71,3,35,15,62,2,91,84,23,73,66,23,35,88,15,80,12,92,49,75,68,96,89,39,2,57,64,53,97,70,43,58,48,84,56,66,83,93,78,65,97,22,86,57,42,88,49,20,40,82
52,3,0,3,2,72,75,36,0,36,54,1,37,71,52,19,91,86,94,27,93,78,68,14,2,0,95,83,19,38,94,77,57,6,88,26,98,61,93,27,12,30,9,93,60,10,51,76,96,65,76,68,86,86,56,34,76,46,20,59,38,7,35,83,6,93,24,11,33,57,1,42,10,64,49,98,93,3,53,60,20,98,4,41,12,99,68,45,53,37,59,98,96,58,0,7,52,44,46,69,84,27,88,76,13,95,30,0,71,58,34,26,94,6,53,77,45,58,35,50,39,52,23,67,16,81,13,90,78,33
53,2,2,3,0,94,23,87,53,83,97,79,76,20,37,63,28,22,33,4,88,88,84,45,20,32,98,2,11,21,81,88,31,55,16,22,20,95,34,15,36,97,36,68,50,78,31,61,23,19,58,76,53,55,85,41,90,67,58,36,6,37,30,50,93,48,77,4,19,9,54,13,39,9,31,60,93,15,67,21,0,12,44,73,57,6,61,52,11,18,58,14,100,72,1,8,14,26,75,55,44,6,73,4,41,50,64,33,29,8,28,33,52,99,8,93,89,57,66,83,30,90,10,65,35,35,12,2,93,68
54,1,2,3,1,46,36,53,30,49,45,89,15,7,52,25,10,51,43,24,49,34,54,98,26,23,34,29,64,73,19,8,38,78,32,35,75,17,31,26,64,63,69,23,23,84,71,75,56,95,63,30,0,41,67,92,18,2,71,82,3,97,51,19,76,85,62,84,20,42,97,39,13,54,49,33,66,34,31,94,8,5,77,76,36,14,83,70,15,37,70,11,68,84,17,45,1,72,31,13,33,91,10,3,82,61,18,10,28,69,23,61,30,79,60,49,82,7,23,25,79,23,16,58,20,25,14,60,82,32
55,1,1,3,2,17,82,32,22,72,6,36,15,16,76,87,56,76,18,70,58,87,72,18,70,53,91,42,89,61,27,53,92,65,98,13,5,91,48,57,0,71,49,23,38,44,53,9,50,49,2,18,92,72,8,77,98,14,43,78,61,100,78,84,74,49,97,71,62,12,8,57,27,46,90,58,95,72,36,40,6,58,96,15,97,77,8,4,21,24,17,30,56,74,24,19,40,81,52,7,81,99,65,19,69,24,9,1,17,38,64,0,77,80,19,91,85,91,74,85,0,58,26,61,83,8,54,10,26,63
56,0,0,2,1,71,36,13,71,87,51,62,42,38,30,80,37,26,14,80,27,57,82,92,19,18,25,70,54,77,34,9,48,75,26,69,28,55,31,9,80,9,69,28,11,90,53,25,76,59,77,67,94,0,13,16,78,43,89,1,71,80,53,79,94,60,61,69,80,74,17,93,33,52,12,11,62,30,27,49,91,32,51,43,63,100,85,47,91,88,4,22,19,39,38,64,93,90,39,95,16,73,5,35,81,45,13,13,65,86,35,14,63,92,8,42,77,46,97,82,90,66,17,0,71,36,82,78,71,25
57,3,0,2,1,36,68,99,25,26,64,68,8,48,91,58,94,34,81,63,46,12,47,31,81,6,15,21,86,51,2,76,63,39,71,21,81,43,84,86,22,97,61,0,42,74,47,75,39,14,43,93,12,12,24,95,48,91,74,58,77,11,81,17,67,45,71,95,12,9,41,84,86,56,95,59,76,68,19,65,75,63,33,46,74,17,75,83,32,5,8,4,68,74,69,100,46,12,16,76,93,25,70,77,13,92,77,52,60,4,39,34,43,79,83,96,88,64,43,98,15,65,70,60,0,11,71,66,85,16
58,0,2,2,2,77,4,2,45,42,4,89,2,27,27,61,68,70,90,58,87,18,100,69,65,53,63,28,99,74,78,39,95,34,24,30,86,69,90,53,67,38,91,20,75,59,14,70,41,31,6,72,20,67,80,69,40,53,56,2,4,88,15,71,28,27,29,25,14,79,48,54,18,85,72,24,11,9,85,15,7,42,16,14,51,77,28,4,43,23,25,46,8,66,66,79,12,52,21,64,4,61,15,44,53,77,78,69,78,54,14,66,40,26,85,77,31,51,48,42,27,63,96,26,99,19,56,26,67,56
59,3,1,3,3,100,70,9,20,42,33,92,65,79,73,53,60,39,32,9,47,16,49,83,54,22,81,43,40,88,43,14,98,27,45,91,40,61,72,78,65,9,33,37,85,51,99,41,71,19,67,22,45,25,89,59,90,6,93,4,84,61,62,23,35,90,7,16,28,28,18,59,98,63,10,71,36,11,7,79,15,44,59,91,78,77,22,26,70,15,64,97,99,13,17,60,84,55,43,69,93,81,69,41,38,54,11,23,73,14,95,12,58,40,32,71,44,10,22,12,58,48,43,2,80,58,82,13,0,56
60,3,1,1,2,100,0,61,28,94,99,49,6,57,16,65,1,39,72,35,60,36,79,44,17,31,33,64,14,23,18,51,44,95,25,90,19,82,30,13,51,91,96,86,55,45,53,79,65,80,14,84,75,66,37,40,75,28,55,79,48,36,80,77,67,99,97,73,27,67,56,63,27,24,1,22,27,80,28,34,58,44,68,93,64,8,9,23,24,18,79,99,48,32,6,1,92,97,11,73,69,76,92,92,69,21,33,3,98,95,33,82,1,22,73,87,11,76,45,53,48,19,96,18,59,96,46,97,8,14
61,0,3,2,2,74,16,55,39,97,88,43,67,82,32,73,49,90,6,11,32,52,31,83,26,63,91,74,53,36,32,15,25,21,88,29,69,24,22,30,34,32,5,25,1,98,61,83,63,7,27,41,52,41,41,20,5,82,35,63,21,93,72,65,67,96,71,56,95,4,77,47,93,49,82,54,17,95,73,8,5,87,60,0,69,47,22,83,84,83,91,80,48,70,99,20,75,46,61,0,77,68,91,49,20,87,20,44,29,55,95,22,18,51,86,5,17,92,30,69,81,47,34,25,98,51,88,21,15,21
62,3,2,2,2,56,84,41,42,79,65,79,50,10,18,40,8,86,96,42,80,87,31,33,70,20,25,47,50,6,41,54,55,8,79,25,15,73,60,55,82,6,42,6,47,56,86,10,9,30,17,73,53,71,89,40,3,82,89,59,96,78,61,78,33,9,70,68,42,30,8,0,43,25,38,41,61,53,25,31,15,41,86,26,75,43,23,59,78,92,44,76,95,56,41,60,4,94,92,93,37,76,77,18,38,72,85,46,46,13,3,87,64,62,56,0,37,90,50,28,64,64,40,79,2,47,55,27,36,23
63,3,1,3,1,75,36,13,37,29,97,68,28,38,21,71,51,0,60,97,59,76,83,28,74,90,16,41,51,54,13,19,39,88,4,68,14,80,28,76,27,37,17,83,1,12,63,28,89,75,75,26,28,45,94,61,34,41,58,47,66,66,75,74,25,73,95,31,6,80,82,84,36,63,6,35,1,47,29,95,59,83,82,42,71,65,17,97,31,72,43,59,33,18,0,98,11,94,40,43,75,16,89,12,93,50,81,25,4,44,2,5,95,55,41,9,2,16,68,20,35,49,99,24,8,51,9,19,46,10
64,1,2,3,2,21,35,29,72,47,35,91,80,50,72,13,45,37,97,72,12,13,67,65,79,29,82,53,96,65,66,84,1,7,17,83,85,4,54,27,91,51,92,22,29,43,69,73,25,45,8,60,48,44,16,100,13,9,64,28,81,18,86,66,56,14,86,77,5,27,21,40,46,24,12,6,76,8,4,66,51,39,69,79,34,35,14,99,90,10,61,20,63,14,29,72,63,47,20,36,67,73,89,52,52,61,83,64,74,46,19,59,14,34,26,86,9,56,26,52,64,92,45,47,12,66,4,57,20,95
65,1,2,0,2,9,49,74,24,13,83,30,36,95,11,49,18,72,77,24,51,23,14,100,98,22,73,12,10,73,48,62,34,46,81,39,62,91,33,10,8,72,99,86,34,70,27,24,46,59,73,50,29,53,22,67,28,34,87,48,47,48,66,52,69,37,33,50,9,66,62,78,13,76,34,63,89,66,1,82,72,31,54,86,61,72,59,10,69,28,42,33,26,50,89,36,19,29,94,64,99,13,20,11,52,98,23,69,10,51,47,70,27,35,50,75,82,71,91,47,51,9,1,47,86,17,87,30,70,63
66,0,3,3,3,36,92,46,86,22,41,61,7,42,71,23,40,23,50,10,19,13,25,79,66,43,33,97,50,4,6,91,98,58,88,0,97,59,95,74,69,64,69,19,59,33,58,65,32,31,58,27,52,60,17,86,86,39,58,68,19,77,52,15,69,66,84,93,61,55,35,4,1,53,42,80,46,84,66,14,53,92,28,2,89,93,1,80,38,12,9,14,15,12,26,73,65,2,23,97,55,18,0,31,19,20,27,4,64,38,27,72,84,91,9,67,78,99,32,74,87,69,43,36,77,30,35,82,66,96
67,3,2,1,1,69,81,93,34,83,73,24,58,17,29,30,65,62,51,35,68,21,57,43,86,91,100,58,21,88,49,99,41,27,10,8,86,99,11,73,25,57,43,14,98,33,0,100,70,12,18,73,40,4,16,93,67,42,38,30,90,86,96,44,36,55,62,84,55,89,74,22,38,59,34,59,2,1,74,49,77,59,81,24,71,30,59,6,96,14,0,86,79,10,94,22,45,85,72,70,8,43,81,92,17,78,56,27,19,12,77,59,21,83,74,84,93,41,20,30,14,43,14,72,80,24,79,69,3,41
68,0,2,2,1,42,9,1,76,56,100,24,57,86,89,65,74,77,0,77,98,37,13,25,34,34,43,84,82,48,68,30,80,81,49,40,76,64,42,76,62,68,67,21,96,68,84,40,91,46,12,4,99,6,66,62,27,19,15,9,89,25,26,30,47,92,57,79,41,0,8,79,7,93,4,44,90,42,81,36,8,40,57,43,97,83,95,76,10,55,23,21,14,23,38,96,30,47,17,11,67,45,19,56,70,91,46,38,86,95,57,69,85,59,69,23,88,12,99,41,17,67,33,27,83,17,67,76,53,3
69,0,1,3,0,27,21,19,3,59,67,32,74,14,8,51,99,64,28,100,48,93,30,76,95,59,4,50,0,40,93,70,26,85,91,72,100,97,25,0,98,93,16,33,93,51,17,27,52,35,32,75,1,93,58,45,2,97,79,79,77,23,85,55,46,98,88,1,37,31,47,2,59,89,83,30,90,98,64,18,25,39,25,42,80,66,23,35,72,0,23,82,40,70,71,30,95,79,92,54,89,0,12,85,8,61,95,91,6,75,17,72,99,45,15,45,84,66,70,44,34,40,23,37,92,65,86,48,45,68
70,0,1,2,0,6,28,27,21,4,57,51,44,28,35,100,69,14,61,52,71,54,4,34,78,8,98,59,53,0,93,85,3,80,27,69,75,90,44,45,29,68,98,19,66,29,61,35,54,84,0,49,4,39,27,91,77,56,15,26,95,43,24,31,94,49,39,30,72,76,96,100,93,66,64,47,82,51,93,71,50,21,7,3,61,50,54,99,72,38,28,57,32,97,7,2,62,25,84,9,15,61,94,95,29,82,7,56,56,78,79,70,17,50,81,12,67,77,64,19,91,57,79,39,51,83,50,25,38,53
71,3,1,1,3,53,83,21,43,94,40,12,60,42,43,77,61,22,25,74,4,75,100,81,77,52,4,18,93,59,37,47,56,46,79,21,78,97,81,30,13,80,72,66,35,35,16,76,40,16,6,53,83,81,8,59,80,4,75,17,100,10,11,13,81,97,27,95,86,4,64,31,86,67,0,28,16,70,78,98,74,70,70,73,52,42,64,61,27,25,82,7,25,41,94,83,41,46,33,3,39,95,54,33,19,11,83,7,14,22,75,67,77,68,31,59,84,28,2,29,80,84,65,88,94,81,80,11,51,20
72,3,3,0,0,70,87,90,9,77,21,71,9,75,20,66,67,26,19,9,32,78,61,29,41,90,32,15,71,28,59,56,11,0,74,52,10,73,83,58,45,1,20,100,65,59,10,21,36,64,91,87,13,0,78,70,30,100,67,54,23,19,82,69,38,65,46,45,3,94,63,17,69,17,90,55,8,54,11,67,22,77,81,8,99,5,28,75,9,41,80,82,12,55,44,27,28,31,25,4,55,80,44,45,37,44,86,89,74,43,60,79,57,61,17,40,20,67,36,91,42,90,33,86,3,30,52,54,54,50
73,2,1,0,2,60,86,77,96,12,18,20,43,14,51,21,19,78,89,94,98,4,65,50,76,43,6,75,81,71,3,80,92,31,75,98,83,70,9,27,88,95,32,79,30,73,67,71,37,78,16,93,2,28,56,36,70,17,12,65,12,95,100,65,18,75,13,2,32,99,94,54,7,93,4,74,50,33,57,98,50,44,84,91,42,21,35,11,43,81,93,77,62,79,56,24,86,89,64,84,52,25,51,65,100,6,73,56,66,85,99,29,9,90,67,60,75,81,51,66,23,51,97,49,10,58,28,90,49,62
74,1,2,1,1,89,64,20,5,28,91,18,19,47,66,12,38,30,49,54,100,68,66,55,31,76,100,55,60,47,87,91,36,57,86,96,83,20,4,36,63,59,44,37,2,84,22,11,32,23,69,74,85,13,45,11,20,59,100,34,100,49,45,89,94,35,62,46,94,57,56,57,92,69,0,8,52,24,94,6,19,90,57,11,43,100,10,32,73,62,4,0,21,26,58,57,23,90,33,18,55,52,92,84,39,54,43,2,23,94,39,8,49,14,80,9,0,88,57,53,10,9,44,52,9,13,37,84,19,77
75,0,2,2,1,52,75,97,91,58,16,90,13,11,78,42,61,48,61,67,62,80,72,80,3,48,29,20,90,69,1,14,2,21,50,87,82,40,92,40,14,93,92,79,10,76,30,63,83,70,29,92,39,0,55,3,10,80,62,6,36,30,97,12,93,19,58,8,59,56,11,51,91,41,24,79,96,10,87,52,19,82,89,64,67,39,45,95,98,28,10,50,8,96,79,97,29,12,37,50,37,69,88,75,16,85,36,25,68,35,48,52,53,93,43,65,76,97,39,76,92,61,54,50,57,6,47,76,96,64
76,2,0,0,2,53,77,74,73,52,18,70,1,36,83,46,72,67,81,6,34,34,26,78,92,70,13,5,14,84,72,53,8,62,76,3,83,44,72,86,44,15,52,25,11,53,62,85,19,4,9,56,0,99,19,79,51,39,57,70,91,47,66,45,28,77,40,13,58,70,89,10,88,51,12,28,8,99,90,94,25,50,12,80,58,45,30,83,0,30,47,29,89,96,69,10,43,22,28,77,24,18,79,18,64,73,83,74,73,1,9,61,83,97,93,60,59,91,49,79,74,47,23,3,68,10,79,34,88,31
77,0,0,1,0,54,36,74,32,61,15,53,18,74,77,15,0,36,22,32,82,96,6,28,78,44,43,57,69,35,83,74,50,55,15,75,50,65,96,92,43,87,59,5,91,79,91,89,36,95,45,93,4,80,64,37,5,47,11,20,0,25,58,10,76,75,85,5,42,14,24,8,45,96,61,72,8,9,25,92,81,93,81,19,14,37,0,69,11,64,15,83,59,5,23,68,7,66,39,39,34,9,71,1,45,48,17,0,92,44,45,38,45,35,44,3,30,6,44,81,37,15,88,68,15,70,86,14,78,80
78,3,1,3,3,40,3,92,71,98,68,74,31,55,3,84,34,16,34,20,81,71,16,28,51,76,64,56,10,32,60,20,64,6,62,22,28,86,32,60,38,64,12,94,88,98,31,38,87,12,91,59,73,66,4,65,68,77,59,25,44,92,49,65,62,84,6,66,37,33,68,27,4,7,3,40,55,7,14,74,17,70,16,68,49,22,70,73,94,49,76,89,94,34,43,68,78,64,75,72,50,3,35,27,71,1,60,16,20,85,67,0,9,80,63,85,32,88,71,53,99,46,8,23,95,62,85,11,80,97
79,3,3,1,0,26,4,44,95,77,94,20,69,82,73,87,33,87,46,74,64,28,10,75,4,40,62,57,62,34,44,65,10,66,73,34,20,54,6,53,69,63,82,47,68,14,5,85,69,56,82,53,48,76,62,8,63,37,46,58,15,18,67,61,25,71,59,26,31,41,12,70,96,6,56,90,78,50,94,84,3,90,27,30,100,22,76,45,34,100,91,33,61,95,72,48,34,84,64,73,43,50,83,11,61,29,27,33,46,84,31,14,95,8,21,65,32,64,20,46,36,49,64,73,44,31,71,67,30,63
80,0,3,1,3,26,6,60,38,28,70,13,4,95,4,0,52,0,50,8,38,85,69,89,57,49,97,80,19,68,81,70,2,100,72,55,21,0,85,99,70,55,98,10,91,13,100,42,93,100,78,36,47,89,10,50,13,51,92,80,45,21,17,35,99,0,60,51,23,15,66,63,94,81,54,11,92,13,71,54,59,43,85,64,96,29,81,25,7,12,40,31,67,60,70,50,0,51,72,18,59,20,37,88,11,20,11,95,65,31,93,72,52,66,43,8,19,38,16,24,55,14,62,53,66,100,42,16,5,69
81,0,0,2,2,79,96,28,6,61,66,10,46,7,31,42,21,10,21,93,52,62,42,47,74,99,98,13,30,60,11,7,26,84,43,30,40,13,85,16,1,85,25,84,78,10,2,60,50,85,24,54,44,26,85,10,94,30,96,5,12,64,24,71,95,82,67,59,77,72,5,99,35,91,78,46,5,93,27,15,57,84,93,71,88,77,72,70,11,16,59,47,76,51,93,34,59,27,19,86,83,36,57,18,66,32,97,55,28,93,21,50,21,74,29,29,67,12,14,78,72,17,11,73,0,52,98,12,35,57
82,2,1,0,2,57,15,88,61,96,91,58,54,50,57,13,88,19,21,28,100,73,42,33,15,57,56,20,52,15,61,63,0,32,87,66,54,18,23,29,8,90,97,66,82,92,9,47,64,30,49,50,66,82,92,4,17,99,51,98,25,19,62,31,8,91,67,5,88,17,70,96,90,14,1,70,54,44,67,68,54,48,45,49,82,97,62,76,67,72,20,10,22,49,13,69,65,50,45,36,35,9,93,70,68,42,22,56,66,4,7,41,30,17,51,94,82,44,37,93,29,3,92,90,55,73,10,59,90,53
83,0,2,0,2,48,8,30,83,50,56,32,64,14,88,78,59,6,90,8,0,98,94,80,83,56,49,68,49,30,78,25,49,16,17,88,52,29,69,27,54,79,1,85,5,40,90,32,24,4,51,4,13,99,11,23,24,48,8,46,62,0,50,2,77,88,56,96,18,9,77,47,41,62,87,78,34,84,67,42,67,60,5,23,73,73,55,96,46,6,77,69,78,35,38,15,39,85,46,39,12,84,63,26,77,8,65,50,53,89,60,36,15,44,36,6,58,65,27,13,83,94,86,19,12,53,47,34,99,14
84,2,0,0,0,9,63,4,21,80,93,68,19,8,92,32,50,17,23,34,59,66,79,27,49,37,1,15,52,48,45,81,28,79,50,21,56,62,5,13,23,40,98,71,55,28,25,76,20,44,85,94,74,45,79,94,46,84,65,93,59,58,50,19,87,29,6,16,98,71,79,56,11,26,85,47,73,74,78,52,90,47,71,97,91,15,84,6,32,50,79,66,33,50,39,96,86,16,5,94,55,69,62,4,100,46,49,91,85,12,63,1,88,90,23,17,91,44,32,81,51,47,14,22,70,11,67,81,97,83
85,2,3,2,0,27,75,97,39,83,2,94,45,70,47,14,98,92,27,72,27,100,45,47,33,62,66,14,60,35,94,45,79,2,78,76,17,70,67,42,30,17,39,99,32,42,15,75,22,13,80,7,96,76,25,14,29,41,67,86,67,54,77,44,92,53,61,13,5,38,46,21,73,39,27,26,49,19,67,2,65,87,62,66,14,42,84,7,50,11,51,99,50,87,29,87,28,65,3,33,73,15,41,20,88,41,38,7,64,42,14,22,46,70,53,61,64,13,12,11,0,97,55,3,80,80,44,6,54,74
86,0,1,1,2,21,39,42,86,84,52,69,52,49,83,57,43,2,86,0,45,6,0,15,93,57,38,90,13,18,8,35,65,2,57,60,25,93,40,39,1,62,41,35,36,51,47,5,0,10,59,56,30,85,93,64,60,97,44,0,47,34,82,55,59,46,67,73,2,26,68,97,89,88,36,30,98,93,1,15,67,19,63,92,68,37,85,0,67,27,48,15,81,27,28,77,59,74,25,30,88,26,1,76,42,36,70,51,21,30,74,51,63,13,46,93,50,18,11,46,88,30,64,35,33,18,67,53,44,75
87,0,1,2,0,40,27,1,85,31,83,99,60,9,16,97,79,82,24,0,22,5,72,59,78,23,2,37,96,90,98,66,30,80,10,48,18,90,12,3,23,36,95,58,31,21,85,8,31,78,26,13,47,34,44,72,68,38,15,12,53,92,2,16,56,67,91,1,27,57,71,16,50,49,93,64,1,10,28,66,41,37,57,6,74,52,84,51,69,86,75,51,23,0,98,6,52,56,36,7,35,49,70,32,39,91,77,15,64,99,24,81,3,13,31,48,47,48,79,87,73,58,56,89,70,36,28,63,44,61
88,3,3,2,2,94,8,58,68,15,95,77,95,53,10,99,81,89,70,51,58,21,98,14,76,42,28,75,64,73,56,14,77,22,73,45,100,89,27,95,18,11,82,4,64,73,49,59,16,42,93,25,94,77,88,100,66,31,54,33,46,39,16,24,98,57,62,54,92,33,60,11,73,29,2,32,91,25,40,15,70,84,47,58,19,14,91,49,59,28,100,25,79,5,56,28,28,79,10,55,30,45,14,11,22,59,28,63,80,94,22,61,84,31,59,9,22,98,71,43,15,49,1,62,84,96,73,11,7,86
89,3,3,3,2,1,97,25,20,22,9,46,50,36,37,23,45,56,32,66,95,95,60,100,78,22,17,96,44,25,73,4,80,87,92,18,44,50,1,81,28,64,45,83,85,85,39,70,3,26,91,57,20,48,3,70,22,41,43,81,8,29,31,26,15,48,1,69,97,4,13,31,69,75,34,20,64,76,67,12,9,79,48,3,56,69,5,88,27,68,92,21,18,20,33,62,23,57,29,98,42,41,58,98,37,72,49,98,12,90,95,6,46,76,69,33,32,9,34,59,67,76,39,8,71,48,32,21,96,94
90,3,3,2,3,80,100,71,71,26,18,70,15,2,30,73,75,91,12,0,37,14,59,57,64,79,22,79,9,31,38,0,92,69,82,17,83,93,19,89,3,80,97,84,70,67,17,68,26,79,88,64,6,41,82,2,60,98,19,59,73,9,98,63,71,55,40,51,52,10,90,49,43,14,18,76,31,46,73,100,97,0,44,55,48,12,33,10,72,11,38,16,52,65,6,74,24,41,31,46,78,42,63,70,96,99,60,77,17,81,24,39,52,18,74,3,2,76,92,6,49,66,22,6,84,29,12,22,51,6
91,3,0,2,0,20,65,76,17,34,90,85,63,52,94,28,83,66,45,52,82,45,53,54,10,2,80,95,97,75,7,92,71,71,32,8,89,34,54,67,43,69,68,99,28,95,51,5,53,77,4,48,14,83,90,99,32,60,68,12,10,4,48,27,69,0,66,61,34,98,46,20,13,88,79,100,35,11,84,89,35,93,94,71,58,14,67,56,13,64,100,25,10,0,45,18,40,66,4,52,39,57,59,23,7,31,21,64,62,5,72,65,49,7,14,42,74,6,95,74,30,89,27,35,68,87,2,29,85,43
92,0,3,0,3,59,69,100,27,97,30,36,100,36,28,79,68,57,72,22,62,23,34,20,83,23,38,39,11,36,36,92,53,100,8,12,90,89,53,11,62,77,82,95,75,95,27,80,24,87,95,11,70,97,27,58,70,99,65,28,97,9,14,56,95,42,16,62,20,77,97,92,1,28,64,35,52,38,63,40,50,99,78,87,25,64,10,62,6,19,53,6,60,27,10,77,11,2,40,43,90,58,11,18,44,70,93,59,12,83,57,53,17,85,65,73,89,40,91,13,40,19,36,36,47,93,44,99,50,96
93,1,3,1,0,66,68,99,57,66,74,77,64,11,65,85,14,56,81,84,35,87,89,65,49,66,87,1,86,32,33,69,73,71,40,87,49,51,13,91,83,5,57,67,50,12,26,50,89,93,69,31,75,79,16,61,51,59,40,19,58,32,22,97,25,93,30,8,77,58,44,69,91,53,39,27,45,45,59,94,0,8,74,36,67,14,29,77,34,80,88,46,49,75,40,66,16,86,94,0,82,40,9,50,83,74,96,7,38,9,6,17,22,25,51,40,28,26,67,77,59,64,46,59,26,5,100,36,65,66
